
##################################################
#             Conservación de Energía            #
##################################################

Step, tiempo, energía total
857, 8.57, 0.144211
858, 8.58, 0.144029
859, 8.59, 0.143848
860, 8.6, 0.143667
861, 8.61, 0.143486
862, 8.62, 0.143306
863, 8.63, 0.143126
864, 8.64, 0.142946
865, 8.65, 0.142767
866, 8.66, 0.142588
867, 8.67, 0.14241
868, 8.68, 0.142232
869, 8.69, 0.142054
870, 8.7, 0.141877
871, 8.71, 0.1417
872, 8.72, 0.141524
873, 8.73, 0.141348
874, 8.74, 0.141172
875, 8.75, 0.140996
876, 8.76, 0.140821
877, 8.77, 0.140647
878, 8.78, 0.140472
879, 8.79, 0.140298
880, 8.8, 0.140125
881, 8.81, 0.139952
882, 8.82, 0.139779
883, 8.83, 0.139606
884, 8.84, 0.139434
885, 8.85, 0.139262
886, 8.86, 0.139091
887, 8.87, 0.13892
888, 8.88, 0.138749
889, 8.89, 0.138578
890, 8.9, 0.138408
891, 8.91, 0.138239
892, 8.92, 0.138069
893, 8.93, 0.1379
894, 8.94, 0.137732
895, 8.95, 0.137563
896, 8.96, 0.137395
897, 8.97, 0.137228
898, 8.98, 0.137061
899, 8.99, 0.136894
900, 9, 0.136727
901, 9.01, 0.136561
902, 9.02, 0.136395
903, 9.03, 0.136229
904, 9.04, 0.136064
905, 9.05, 0.135899
906, 9.06, 0.135735
907, 9.07, 0.13557
908, 9.08, 0.135406
909, 9.09, 0.135243
910, 9.1, 0.13508
911, 9.11, 0.134917
912, 9.12, 0.134754
913, 9.13, 0.134592
914, 9.14, 0.13443
915, 9.15, 0.134268
916, 9.16, 0.134107
917, 9.17, 0.133946
918, 9.18, 0.133786
919, 9.19, 0.133625
920, 9.2, 0.133465
921, 9.21, 0.133306
922, 9.22, 0.133146
923, 9.23, 0.132987
924, 9.24, 0.132829
925, 9.25, 0.13267
926, 9.26, 0.132512
927, 9.27, 0.132354
928, 9.28, 0.132197
929, 9.29, 0.13204
930, 9.3, 0.131883
931, 9.31, 0.131726
932, 9.32, 0.13157
933, 9.33, 0.131414
934, 9.34, 0.131259
935, 9.35, 0.131103
936, 9.36, 0.130948
937, 9.37, 0.130794
938, 9.38, 0.130639
939, 9.39, 0.130485
940, 9.4, 0.130332
941, 9.41, 0.130178
942, 9.42, 0.130025
943, 9.43, 0.129872
944, 9.44, 0.12972
945, 9.45, 0.129567
946, 9.46, 0.129415
947, 9.47, 0.129264
948, 9.48, 0.129112
949, 9.49, 0.128961
950, 9.5, 0.128811
951, 9.51, 0.12866
952, 9.52, 0.12851
953, 9.53, 0.12836
954, 9.54, 0.12821
955, 9.55, 0.128061
956, 9.56, 0.127912
957, 9.57, 0.127763
958, 9.58, 0.127615
959, 9.59, 0.127467
960, 9.6, 0.127319
961, 9.61, 0.127171
962, 9.62, 0.127024
963, 9.63, 0.126877
964, 9.64, 0.12673
965, 9.65, 0.126584
966, 9.66, 0.126438
967, 9.67, 0.126292
968, 9.68, 0.126146
969, 9.69, 0.126001
970, 9.7, 0.125856
971, 9.71, 0.125711
972, 9.72, 0.125567
973, 9.73, 0.125422
974, 9.74, 0.125278
975, 9.75, 0.125135
976, 9.76, 0.124991
977, 9.77, 0.124848
978, 9.78, 0.124705
979, 9.79, 0.124563
980, 9.8, 0.12442
981, 9.81, 0.124278
982, 9.82, 0.124137
983, 9.83, 0.123995
984, 9.84, 0.123854
985, 9.85, 0.123713
986, 9.86, 0.123572
987, 9.87, 0.123432
988, 9.88, 0.123292
989, 9.89, 0.123152
990, 9.9, 0.123012
991, 9.91, 0.122873
992, 9.92, 0.122734
993, 9.93, 0.122595
994, 9.94, 0.122456
995, 9.95, 0.122318
996, 9.96, 0.12218
997, 9.97, 0.122042
998, 9.98, 0.121905
999, 9.99, 0.121767
